"","Texto","Tipo de discriminación",""
"1","gente de color","étnica y racial",""
"2","Cásate con un gringo para mejorar la raza","étnica y racial",""
"3","Trabajo como negro para vivir como blanco","étnica y racial",""
"4","Nunca falta un prietito en el arroz","étnica y racial",""
"5","No tiene la culpa el indio, sino el que lo hace compadre","étnica y racial",""
"6","El niño es morenito, pero está bonito","étnica y racial",""
"7","Negro","étnica y racial",""
"8","Negro azabache","étnica y racial",""
"9","A ese negro solo se ven los dientes","étnica y racial",""
"10","Apesta a indio","étnica y racial",""
"11","india","étnica y racial",""
"12","indio","étnica y racial",""
"13","indio encontrado, indio preso","étnica y racial",""
"14","Negro tenias que ser","étnica y racial",""
"15","Para ser negra eres muy linda","étnica y racial",""
"16","Negro como el culo de la paila","étnica y racial",""
"17","Ustedes los negros son muy vagos","étnica y racial",""
"18","Se fue corriendo como negro","étnica y racial",""
"19","Si fueras blanco serias mi novio","étnica y racial",""
"20","Todo negro es ladron","étnica y racial",""
"21","Son ilegales"," xenofobia",""
"22","yo no soy racista, pero acógelos tú en tu casa"," xenofobia",""
"23","nos roban el trabajo"," xenofobia",""
"24","se llevan todas las ayudas sociales"," xenofobia",""
"25","Las personas refugiadas utilizan unos servicios públicos que no pagan"," xenofobia",""
"26","Las personas refugiadas tienen casa gratis y un sueldo mensual"," xenofobia",""
"27","Las personas refugiadas huyen porque quieren"," xenofobia",""
"28","No quieren integrarse"," xenofobia",""
"29","Vete a tu pais hacer las cosas"," xenofobia",""
"30","Cruzan la frontera y se vuelven intocables"," xenofobia",""
"31","El venezolano me sale mas barato que el ecuatoriano"," xenofobia",""
"32","Largate a tu pais "," xenofobia",""
"33","Que desgracia, mas venezolanos de plaga"," xenofobia",""
"34","Hambrezolanos "," xenofobia",""
"35","Repartamonos dos por familia a modo de esclavos y que ganen su plato de comida"," xenofobia",""
"36","Usando dinero de los impuestas para estos venezolanos"," xenofobia",""
"37","A mi que me importa ese tal exodo, solo quiero que la gente venezolana se vaya del pais "," xenofobia",""
"38",""," xenofobia",""
"39",""," xenofobia",""
"40",""," xenofobia",""
"41","Cuál de las dos hace de hombre","LGBTI",""
"42","Pues no pareces gay, no tienes nada de pluma","LGBTI",""
"43","Yo no tengo nada en contra de los homosexuales, si tengo un amigo gay","LGBTI",""
"44","Eres gay, tengo un amigo que te va a encantar","LGBTI",""
"45","Pero si eres muy guapa para ser lesbiana","LGBTI",""
"46","Eres lesbiana porque no has tenido suerte con los hombres","LGBTI",""
"47","Los bisexuales son unos viciosos","LGBTI",""
"48","Las lesbianas cómo tienen sexo","LGBTI",""
"49","Tanto juntarte con homosexuales que al final se te ha pegado","LGBTI",""
"50","El Orgullo me parece muy bien, pero no que la gente salga desnuda por la calle","LGBTI",""
"51","Marimacha","LGBTI",""
"52","Marica","LGBTI",""
"53","Mejor puta que lesbiana","LGBTI",""
"54","Pegas como nena","LGBTI",""
"55","Es tan Gay","LGBTI",""
"56","¿No te dan ganas de ser mujer?","LGBTI",""
"57","No tengo problemas con los gays pero no entiendo por qué tienen que ser tan ‘locas’","LGBTI",""
"58","¿Quién es la mujer de la relación?","LGBTI",""
"59","¿Y cómo fue cuando ‘saliste del clóset’?","LGBTI",""
"60","Tú eres gay así que ayúdame ¿qué me pongo?","LGBTI",""
"61","Juan juega con muñecas. Es raro."," género",""
"62","Luces como un niño"," género",""
"63","Si es un niño, por qué le gusta vestirse como niña"," género",""
"64","Por qué le gusta el color rosado a Martín"," género",""
"65","Por qué ella juega siempre con los niños"," género",""
"66","Los niños son mejores en matemática que las niñas"," género",""
"67","Los niños son mejores en los deportes que las chicas"," género",""
"68","Hay carreras para hombres y careras para mujeres"," género",""
"69","Los hombres no lloran"," género",""
"70","Detrás de un gran hombre hay una gran mujer"," género",""
"71","Fue un crimen pasional"," género",""
"72","Deberías ser un poco más femenina"," género",""
"73","Calladita te ves más bonita"," género",""
"74","La que no muestra, no vende"," género",""
"75","Corres como niña"," género",""
"76","Ese trabajo es de hombres"," género",""
"77","No seas nena"," género",""
"78","Él si ayuda en la casa"," género",""
"79","El hombre tiene que pagar la cuenta"," género",""
"80","Yo soy mujer y puedo gritarte"," género",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
